Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Ancient Deep Crow,Huge monstrosity,Unaligned,18 (natural armor),187 (15d12 + 90),"20ft., fly 80ft.",23,16,23,10,15,19,"Con: +11, Wis: +7","perception: +7, stealth: +13",None,"bludgeoning, piercing and slashing from nonmagical attacks",None,None,"blindsight 60 ft., darkvision 120 ft., passive perception 17",Deep Crow,15,"
Magic Resistance: The ancient deep crow has advantage on saving throws against spells and other magical effects.
Shadow Stealth: While in dim light or darkness, the ancient deep crow can take the Hide action as a bonus action.","
Multiattack: The ancient deep crow makes three attacks: one with its mandibles and two with its claws.
Mandibles: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage, and the target is grappled (escape DC: 19). Until this grapple ends, the target is restrained, and the ancient deep crow can't use its mandibles on another target.
Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.
Shadow Caw: The ancient deep crow releases an ear-splitting caw. Each creature within 60 feet of the crow and able to hear it must make a DC: 17 Constitution saving throw. On a failure, a creature takes 10 (3d6) psychic damage.","
Multiattack: The ancient deep crow makes three attacks: one with its mandibles and two with its claws.
Mandibles: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage, and the target is grappled (escape DC: 19). Until this grapple ends, the target is restrained, and the ancient deep crow can't use its mandibles on another target.
Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.",not in this JSON,Ancient Deep Crow - Monsters | DnD Wiki,"Ancient Deep Crow is a CR 15, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Auspicia Dran,Medium humanoid,Neutral Good,15 ( chain shirt),52 (8d8 + 16),30ft.,16,14,14,15,12,10,None,"athletics: +5, perception: +3",None,None,None,None,passive perception 13,"Common, Elvish",2,error,"
Multiattack: Auspicia makes two attacks.
Longsword: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.
Light Crossbow: Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",None,not in this JSON,Auspicia Dran - Monsters | DnD Wiki,"Auspicia Dran is a CR 2, Neutral Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Brahma Lutier,Medium humanoid,Neutral,12,33 (6d8 + 6),30ft.,12,15,12,11,13,16,None,"perception: +3, performance: +5, persuasion: +5",None,None,None,None,passive perception 13,"Common, Elvish",2,"
Fey Ancestry: Brahma has advantage on saving throws against being charmed, and magic can't put her to sleep.
Taunt (2/Day): Brahma can use a bonus action to target one creature she can see within 30 feet of her. If the target can hear Brahma, it must succeed on a {@dc 13 Charisma saving throw or have disadvantage on ability checks, attack rolls, and saving throws until the start of Brahma's next turn.","
War Lute: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.
Song of Domination (3/day): Brahma targets one creature that can see or hear her, which must succeed on a DC: 13 Wisdom saving throw or be charmed by her for 1 minute. The target can repeat the save at the end of each of its turns, ending the effect on itself on a success. It has disadvantage on these saves if being charmed by Brahma is something the target openly or secretly desires. For 1 hour after the charm effect ends, the target has disadvantage on Intelligence, Wisdom, or Charisma checks made as part of a contest with Brahma.",None,not in this JSON,Brahma Lutier - Monsters | DnD Wiki,"Brahma Lutier is a CR 2, Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Chaos Quadrapod,Large aberration,Chaotic Evil,14 (natural armor),52 (7d10 + 14),40ft.,18,13,15,6,10,4,None,"acrobatics: +5, perception: +4",None,None,None,None,"blindsight 120 ft. (blind beyond this radius), passive perception 14",error,4,"
Magic Resistance: The chaos quadrapod has advantage on saving throws against spells and other magical effects.","
Multiattack: The chaos quadrapod makes up to two tentacle attacks.
Tentacle: Melee Weapon Attack: +6 to hit, reach 15 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. If the target is a creature, it is grappled (escape DC: 14). Until this grapple ends, the target is restrained. The chaos quadrapod can grapple no more than two targets at a time.
Chaos Cloud (Recharges after a Short or Long Rest): The chaos quadrapod shoots forth a knot of roiling ethereal light that explodes at a point it can see within 60 feet of it. Each creature in a 20-foot-radius sphere centered on that point must succeed on a DC: 14 Charisma saving throw or be stunned until the end of its next turn.",None,not in this JSON,Chaos Quadrapod - Monsters | DnD Wiki,"Chaos Quadrapod is a CR 4, Chaotic Evil, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Clockwork Dragon,Medium construct,Neutral,16 (natural armor),22 (4d8 + 4),"30ft., fly 60ft.",14,10,12,10,11,13,None,"acrobatics: +2, perception: +4",None,None,"poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","blindsight 60 ft., darkvision 60 ft., passive perception 14","Common, Draconic",1,"
False Appearance: While the clockwork dragon remains motionless, it is indistinguishable from a metal statue.","
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.
Fire Breath  - Recharge  5: The clockwork dragon exhales fire in a 15-foot cone. Each creature in that area must make a DC: 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Clockwork Dragon - Monsters | DnD Wiki,"Clockwork Dragon is a CR 1, Neutral, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Deep Crow,Large monstrosity,Unaligned,17 (natural armor),133 (14d10 + 56),"20ft., fly 80ft.",20,16,18,8,15,14,"Con: +8, Wis: +6","perception: +6, stealth: +11",None,None,None,None,"blindsight 30 ft., darkvision 120 ft., passive perception 16",Deep Crow,9,"
Magic Resistance: The deep crow has advantage on saving throws against spells and other magical effects.
Shadow Stealth: While in dim light or darkness, the deep crow can take the Hide action as a bonus action.
Sunlight Sensitivity: While in sunlight, the deep crow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","
Multiattack: The deep crow makes three attacks: one with its mandibles and two with its claws.
Mandibles: Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 16 (2d10 + 5) piercing damage, and the target is grappled (escape DC: 17). Until this grapple ends, the target is restrained, and the deep crow can't use its mandibles on another target.
Claw: Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",None,not in this JSON,Deep Crow - Monsters | DnD Wiki,"Deep Crow is a CR 9, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Donaar Blit'zen,Medium humanoid,Chaotic Good,18 ( plate armor),45 (7d8 + 14),30ft.,17,8,14,10,10,16,"Wis: +2, Cha: +5","history: +2, insight: +2, intimidation: +5, persuasion: +5",None,acid,None,None,passive perception 10,"Common, Draconic, Orc",3,"
Champion Challenge (Recharges after a Short or Long Rest): As a bonus action, Donaar causes each creature of his choice that he can see within 30 feet of him to make a {@dc 13 Wisdom saving throw. On a failure, a creature can't willingly move more than 30 feet away from Donaar. This effect ends on the creature if Donaar is incapacitated or dies, or if the creature is moved more than 30 feet away from him.","
Multiattack: Donaar makes two attacks with his greatsword or his whip.
Greatsword: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage. Whenever Donaar rolls a 1 or 2 on a damage die, he can reroll the die and must use the new roll.
Whip: Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 5 (1d4 + 3) slashing damage.
Acid Vomit: Donaar regurgitates acid in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC: 12 Dexterity saving throw, taking 7 (2d6) acid damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Donaar Blit'zen - Monsters | DnD Wiki,"Donaar Blit'zen is a CR 3, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Flabbergast,Medium humanoid,Lawful Neutral,12,40 (9d8),30ft.,10,14,10,17,13,13,"Int: +5, Wis: +3","arcana: +5, persuasion: +3, history: +5, perception: +3",None,None,None,None,passive perception 13,"Common, Draconic, Elvish, Gnomish",4,error,"
Dagger: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",None,not in this JSON,Flabbergast - Monsters | DnD Wiki,"Flabbergast is a CR 4, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
Jim Darkmagic,Medium humanoid,Chaotic Neutral,12,40 (9d8),30ft.,8,14,10,18,12,14,"Int: +7, Wis: +4","acrobatics: +5, animal handling: +4, arcana: +7, history: +7, performance: +5",None,None,None,None,passive perception 11,Common,5,"
Special Equipment: Jim carries a wand of wonder. Benign Transportation (Recharges after Jim Casts a Conjuration Spell of 1st Level or Higher). As a bonus action, Jim teleports up to 30 feet to a space he can see. The space must be unoccupied or occupied by a willing Small or Medium creature. If the latter, Jim and the willing creature both teleport, swapping places.","
Dagger: Melee or Ranged Weapon Attack: ++5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.
Minor Conjuration: Jim conjures an inanimate object, no larger than 3 feet on a side and no more than 10 pounds, in his hand or on the ground in an unoccupied space he can see within 10 feet of him. The object is visibly magical, radiating dim light out to 5 feet. It disappears if it takes any damage, after 1 hour, or when Jim uses this feature again.",None,not in this JSON,Jim Darkmagic - Monsters | DnD Wiki,"Jim Darkmagic is a CR 5, Chaotic Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
K'thriss Drow'b,Medium humanoid,Chaotic Neutral,14 ( studded leather armor),44 (8d8 + 8),30ft.,8,14,12,14,11,18,"Str: +0, Dex: +3, Con: +2, Int: +3, Wis: +3, Cha: +7","arcana: +4, insight: +2, investigation: +4, perception: +2, religion: +4",None,None,None,None,"darkvision 120 ft., passive perception 12","Celestial, Common, Elvish, Undercommon; can read all writing",3,"
Special Equipment: K'thriss wears a robe of stars (accounted for in his statistics). The robe allows him to cast the following spells: 6/day: magic missile (7 missiles)
Awakened Mind: K'thriss can telepathically speak to any creature he can see within 30 feet of him, provided the creature can understand at least one language.
Fey Ancestry: K'thriss has advantage on saving throws against being charmed, and magic can't put him to sleep. Sunlight Sensitivity. While in sunlight, K'thriss has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","
Multiattack: K'thriss makes two attacks with his sickle. Sickle. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",None,not in this JSON,K'thriss Drow'b - Monsters | DnD Wiki,"K'thriss Drow'b is a CR 3, Chaotic Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-ai.json
